Id,Name,Country,Employees,Ownership,Revenue,Industry
182,"Harvey, Juarez and Hicks",Singapore,476,Public,,Education
183,Lucas and Sons,Malaysia,315,Private,869295,Education
184,"Romero, Johnson and Wilson",Hongkong,3930,Public,26241965,Education
185,Smith Ltd,Singapore,,Private,201062,Healthcare
186,"Mckenzie, Miller and Small",Thailand,606,Public,,Oil & Gas
187,Ruiz Ltd,Hongkong,8537,Public,77775619,Financials
188,Zimmerman-Thornton,Thailand,283,Private,390362,Information Technology
189,"Bray, Hansen and Bates",Singapore,1055,Public,,Financials
190,Wagner PLC,Malaysia,351,Private,353478,Healthcare
191,"Roberts, Sanchez and Cordova",Hongkong,6085,Public,,Financials
192,"Robinson, Bass and Wilkinson",Hongkong,2045,Private,,Healthcare
193,"Curtis, Hill and Mcintyre",Hongkong,3680,Public,,Construction
194,Edwards-Yang,Thailand,142,Private,284845,Healthcare
195,Lewis-Waters,Hongkong,91,Private,557330,Construction
196,Washington Group,Malaysia,2264,Public,,Construction
197,Larson Group,Hongkong,,Private,647735,Oil & Gas
198,Jones-Price,Thailand,,Public,244226,Education
199,Martinez Inc,Malaysia,7919,Private,,Financials
200,"Silva, Caldwell and Lee",Singapore,4782,Public,40683220,Oil & Gas
201,"Lewis, Scott and Williams",Hongkong,5105,Private,,Information Technology
202,Sparks-Cox,Singapore,7851,Public,40056013,Healthcare
203,Murphy-Taylor,Hongkong,,Public,271828,Education
204,"Edwards, Salazar and Harris",Hongkong,3087,Public,97710068,Healthcare
205,Hernandez-Evans,Malaysia,3412,Public,,Construction
206,Reid-Nelson,Singapore,,Public,137087,Financials
207,Brown and Sons,Malaysia,,Public,306397,Construction
208,"Burke, Murillo and Herrera",Malaysia,140,Private,267366,Information Technology
209,Bond Ltd,Thailand,,Private,242795,Construction
210,"Perry, Perry and Miranda",Hongkong,406,Private,455753,Oil & Gas
211,"Williams, Gilmore and Brown",Malaysia,267,Private,290986,Education
212,"Johnson, Page and Franco",Malaysia,5969,Public,,Information Technology
213,"Woods, Davis and Hampton",Hongkong,406,Private,500312,Information Technology
214,Pugh Ltd,Hongkong,8082,Public,77258915,Healthcare
215,Ochoa-Ramsey,Thailand,,Public,463587,Healthcare
216,Gilmore-Goodman,Hongkong,2015,Public,24098250,Oil & Gas
217,"Brown, Jones and Liu",Thailand,3789,Private,,Construction
218,"Jordan, Rodriguez and Coleman",Singapore,,Public,741983,Financials
219,Cooper Inc,Singapore,2883,Public,47167881,Oil & Gas
220,"Lopez, Roberts and Wheeler",Hongkong,,Private,561519,Healthcare
221,"Stuart, Kelly and Hawkins",Thailand,216,Private,379230,Healthcare
222,Brock-Gregory,Thailand,5378,Private,,Information Technology
223,Flowers-Anderson,Thailand,9536,Public,98037654,Education
224,"Brennan, Curtis and Estrada",Singapore,9844,Private,,Information Technology
225,"Adams, Wright and White",Malaysia,4054,Public,90420857,Information Technology
226,Lambert Group,Hongkong,300,Private,489535,Healthcare
227,Mclaughlin-Williams,Hongkong,9098,Private,,Information Technology
228,Navarro Group,Singapore,2982,Public,,Information Technology
229,Phelps Group,Singapore,9517,Public,69780035,Oil & Gas
230,Howell and Sons,Thailand,5267,Public,,Education
231,"Turner, Tran and Moyer",Malaysia,470,Private,754545,Education
232,Morales-Rios,Thailand,213,Private,916569,Healthcare
233,"Hernandez, Kirk and Stevenson",Malaysia,196,Private,634629,Oil & Gas
234,"Everett, Burns and Nguyen",Singapore,7224,Public,18999101,Financials
235,Anderson-Hawkins,Malaysia,6651,Public,26029723,Education
236,Mason Group,Singapore,1847,Private,,Education
237,Martinez-Larson,Thailand,,Public,940403,Healthcare
238,Zhang-Monroe,Malaysia,,Private,685282,Construction
239,Cervantes PLC,Singapore,189,Private,318041,Construction
240,Hayes-Wilson,Thailand,5809,Public,47454258,Construction
241,Morton-Duncan,Malaysia,,Private,615727,Education
242,"Bryan, Gomez and Cochran",Thailand,215,Private,120282,Construction
243,Holmes-Braun,Thailand,5231,Public,67412024,Healthcare
244,Perkins-Wheeler,Thailand,3196,Public,65437151,Education
245,Robinson Inc,Hongkong,2490,Public,,Healthcare
246,Hinton-Mays,Malaysia,4502,Public,,Oil & Gas
247,Ross Ltd,Thailand,,Private,461159,Information Technology
248,Beasley-Herring,Hongkong,64,Public,,Education
249,Castro Inc,Malaysia,200,Private,136276,Construction
250,Galvan-Munoz,Malaysia,460,Private,770408,Information Technology
251,"Cantrell, Jackson and Jenkins",Malaysia,445,Private,811021,Construction
252,Liu-Johnson,Singapore,7854,Public,,Construction
253,"Cruz, Cole and Shaffer",Malaysia,114,Private,310783,Education
254,Sherman LLC,Thailand,149,Private,819750,Oil & Gas
255,Robinson Group,Singapore,238,Private,598330,Oil & Gas
256,Johnson-Moore,Thailand,,Private,920253,Oil & Gas
257,"Lawrence, Weber and Lowery",Malaysia,405,Private,664518,Healthcare
258,Zamora and Sons,Hongkong,2122,Public,12875504,Education
259,Ritter-Sullivan,Malaysia,371,Private,742880,Information Technology
260,"Wiggins, Simon and Salazar",Hongkong,249,Private,408291,Healthcare
261,Shepard-Wright,Thailand,6657,Public,,Education
262,Robinson PLC,Hongkong,133,Private,511818,Financials
263,"Lloyd, Willis and Foster",Malaysia,1110,Public,90130658,Financials
264,"Shea, Mcgee and Fitzgerald",Malaysia,388,Private,554753,Construction
265,Figueroa Inc,Malaysia,9390,Public,,Education
266,"Johnson, Elliott and Rivers",Hongkong,7511,Public,19312887,Financials
267,Martin-Dixon,Malaysia,,Public,245371,Financials
268,Stanley-Powell,Malaysia,3145,Public,10384274,Healthcare
269,"Bailey, Brooks and Malone",Singapore,2395,Public,90460027,Oil & Gas
270,Trujillo Inc,Thailand,,Private,931002,Construction
271,Robinson-Rhodes,Thailand,7165,Public,,Healthcare
272,Woods-Morris,Thailand,3927,Public,40700947,Healthcare
273,Thomas-Olson,Hongkong,6076,Public,,Construction
274,Ford Inc,Thailand,6022,Public,,Oil & Gas
275,Pham-Monroe,Hongkong,7007,Public,61228598,Healthcare
276,Dawson-Choi,Hongkong,,Public,301419,Education
277,Mcgee LLC,Malaysia,271,Private,428070,Oil & Gas
278,Rosales-Myers,Thailand,,Public,943539,Financials
279,"Bailey, Perez and Baird",Singapore,154,Private,315732,Financials
280,Curtis-Webb,Singapore,1324,Public,33812688,Financials
281,Hampton-Jordan,Hongkong,76,Private,901233,Information Technology
282,"Walker, Ryan and Mack",Hongkong,3780,Private,,Financials
283,"Smith, Anderson and James",Hongkong,4993,Public,78238575,Information Technology
284,Simmons Inc,Malaysia,5494,Public,95783499,Healthcare
285,Nichols-Andrade,Thailand,2289,Public,,Education
286,Wright LLC,Malaysia,9302,Public,70209614,Financials
287,Goodwin-Campbell,Malaysia,157,Private,217697,Financials
288,Harris Inc,Thailand,234,Private,973046,Oil & Gas
289,Vasquez-Anderson,Thailand,9989,Public,64269070,Construction
290,"Thompson, White and George",Malaysia,142,Private,703219,Information Technology
291,"Benton, Mcgee and Lee",Singapore,,Public,227128,Information Technology
292,Saunders-Parrish,Hongkong,2129,Public,,Information Technology
293,Armstrong-Barry,Malaysia,1755,Public,88992400,Oil & Gas
294,Smith-Saunders,Hongkong,9257,Public,59900277,Information Technology
295,Henry-Johnson,Hongkong,7116,Public,10771317,Construction
296,Oconnor-Smith,Thailand,,Private,791727,Information Technology
297,Harper PLC,Thailand,214,Private,,Oil & Gas
298,Ellis-Mullins,Singapore,434,Private,964662,Education
299,"Warren, Martin and Johnson",Malaysia,6964,Public,,Financials
300,Payne-King,Thailand,9101,Private,,Information Technology
301,Roth-Mclaughlin,Malaysia,5161,Private,,Oil & Gas
302,Ellis Group,Malaysia,194,Private,659105,Financials
303,Perkins-Taylor,Malaysia,4983,Private,,Financials
304,Branch and Sons,Malaysia,8063,Public,,Construction
305,"Michael, Gould and Jackson",Thailand,58,Private,489084,Information Technology
306,"Cox, Daniels and Thomas",Hongkong,71,Private,824395,Oil & Gas
307,"Cox, York and Garrett",Thailand,,Private,395244,Financials
308,Bradley-Gonzalez,Hongkong,7156,Public,59338865,Financials
309,Becker Ltd,Malaysia,,Private,898089,Education
310,Reeves-Johnson,Thailand,,Private,302640,Information Technology
311,Rice-Cox,Singapore,186,Private,492147,Construction
312,Wade Ltd,Singapore,,Private,545832,Information Technology
313,"Tyler, James and Gamble",Singapore,4426,Private,,Financials
314,Johnson-Smith,Hongkong,4954,Private,,Construction
315,Scott-Lee,Hongkong,1524,Public,21571653,Healthcare
316,"Wong, Gross and Parks",Thailand,140,Private,947135,Construction
317,"Burton, Hernandez and Ferguson",Singapore,,Public,406466,Construction
318,"Robinson, Evans and Silva",Malaysia,,Private,944488,Financials
319,"Robertson, Greene and Thompson",Singapore,,Private,769415,Education
320,Johnson and Sons,Thailand,6449,Public,,Healthcare
321,Wilson-Schultz,Malaysia,3594,Public,44838101,Information Technology
322,Williams-Dixon,Hongkong,,Public,861234,Healthcare
323,Hardin-Sawyer,Singapore,6820,Public,42329098,Financials
324,Davis-Collins,Thailand,9951,Private,,Oil & Gas
325,"Coleman, Gardner and Davis",Malaysia,1914,Public,36358330,Education
326,"Williams, Lee and Gonzales",Thailand,,Public,659417,Information Technology
327,Boyer Ltd,Malaysia,4697,Public,16905527,Healthcare
328,Soto Group,Thailand,,Public,155591,Financials
329,Lowe PLC,Singapore,442,Private,754790,Education
330,Johnson-Dean,Malaysia,,Public,325362,Oil & Gas
331,Mccullough Group,Thailand,6795,Public,63118946,Information Technology
332,Washington Ltd,Thailand,63,Private,627849,Construction
333,"Middleton, Edwards and Henry",Singapore,,Public,450474,Oil & Gas
334,Estrada-Smith,Malaysia,221,Private,687852,Financials
335,Hensley Ltd,Malaysia,7571,Public,,Healthcare
336,Stevens Inc,Hongkong,270,Private,646912,Healthcare
337,Hall and Sons,Singapore,5122,Public,,Healthcare
338,"Farley, Walter and Hernandez",Hongkong,7053,Private,,Healthcare
339,"Malone, Carlson and Gallagher",Thailand,1538,Public,95105987,Education
340,Murphy PLC,Malaysia,1818,Public,,Healthcare
341,Stout-Mitchell,Malaysia,5017,Public,,Construction
342,Santiago and Sons,Malaysia,457,Private,408698,Oil & Gas
343,Suarez Ltd,Hongkong,6031,Public,70758060,Education
344,"Thompson, Thompson and Williams",Malaysia,9279,Public,,Financials
345,Gaines Inc,Malaysia,,Private,220249,Healthcare
346,Smith and Sons,Thailand,,Public,144879,Oil & Gas
347,"Edwards, Delgado and Harris",Hongkong,,Private,451533,Oil & Gas
348,Vargas Ltd,Hongkong,376,Private,350437,Financials
349,Sloan Inc,Malaysia,5839,Public,80904452,Education
350,Gray Group,Singapore,303,Private,794324,Construction
351,Moore-Riley,Hongkong,,Private,962600,Oil & Gas
352,"Moore, Castillo and Stevens",Hongkong,301,Private,580684,Information Technology
353,Thompson and Sons,Hongkong,5792,Public,,Information Technology
354,Wheeler-Walker,Hongkong,2854,Private,,Financials
355,Medina and Sons,Singapore,,Public,813634,Construction
356,Hill and Sons,Hongkong,3545,Public,59854034,Construction
357,Bentley-Stout,Hongkong,2955,Public,70514441,Construction
358,Jones-Alexander,Thailand,,Private,447487,Information Technology
359,Smith-Price,Malaysia,,Public,470668,Information Technology
360,Delgado Inc,Malaysia,5344,Public,40313659,Education
361,Woods LLC,Hongkong,8417,Public,,Oil & Gas
362,Ferrell Group,Malaysia,74,Private,755685,Information Technology
363,Wang Group,Malaysia,266,Private,703740,Education
364,Rogers-Moore,Singapore,475,Private,441914,Information Technology
365,"Davis, Sanchez and Campos",Singapore,6749,Public,,Financials
366,Johnson LLC,Malaysia,,Public,886270,Healthcare
367,"Barrera, Lee and Chan",Thailand,6846,Public,61874527,Oil & Gas
368,Brown-Stephens,Thailand,,Public,117960,Construction
369,"Meadows, Sloan and Daniels",Singapore,,Public,818117,Information Technology
370,"Boone, Medina and Davis",Singapore,467,Private,113026,Information Technology
371,Webb-Church,Thailand,,Public,367322,Oil & Gas
372,"Baker, Johnson and White",Thailand,8907,Public,,Information Technology
373,Walls-Howell,Singapore,5174,Public,87370522,Healthcare
374,"Lane, Baxter and Brown",Singapore,,Private,617446,Oil & Gas
375,Smith Ltd,Singapore,161,Private,915518,Information Technology
376,"Fuentes, Mills and Howard",Hongkong,94,Private,242031,Oil & Gas
377,Black-Burnett,Hongkong,359,Private,783509,Information Technology
378,"Day, Miller and Cox",Thailand,6207,Public,99948452,Construction
379,"Powell, Sanchez and Fitzpatrick",Thailand,,Public,556265,Construction
380,"Blanchard, Pierce and Tapia",Malaysia,2814,Public,21218725,Construction
381,Ramirez Ltd,Hongkong,7261,Public,75541946,Healthcare
382,Davies-Lang,Singapore,7284,Public,,Healthcare
383,Ryan LLC,Thailand,5411,Public,20530918,Financials
384,"Rios, Grant and Anderson",Malaysia,557,Public,,Information Technology
385,Gibbs-Atkinson,Thailand,6410,Public,41573615,Construction
386,"Parker, Chang and Morris",Hongkong,8782,Private,,Education
387,Hall Ltd,Singapore,181,Private,418175,Oil & Gas
388,Price-Parsons,Thailand,906,Public,,Education
389,"Bennett, Mann and Stokes",Thailand,,Private,940640,Healthcare
390,Dodson Ltd,Singapore,5038,Public,89438555,Construction
391,Castro Inc,Thailand,349,Private,657809,Education
392,"Hernandez, Sanford and Martinez",Singapore,,Public,937481,Construction
393,Vasquez Group,Singapore,,Public,568583,Education
394,Williams and Sons,Hongkong,119,Private,962264,Financials
395,"Robinson, Smith and Haney",Hongkong,7432,Public,80750649,Information Technology
396,Davis-Morton,Singapore,,Public,549441,Education
397,"Marshall, Thomas and Nelson",Thailand,,Private,168222,Oil & Gas
398,Perez-Roman,Hongkong,201,Private,306977,Oil & Gas
399,Meadows-Clark,Hongkong,329,Private,641292,Construction
400,Jones LLC,Singapore,,Private,168221,Financials
401,Smith Group,Malaysia,,Private,376126,Information Technology
402,Lewis-Blackwell,Malaysia,340,Private,125466,Construction
403,Smith Group,Malaysia,274,Private,319876,Financials
404,"Huang, Garcia and Manning",Malaysia,,Private,954313,Healthcare
405,"Rodriguez, Giles and Martin",Thailand,51,Private,163090,Information Technology
406,Reynolds Ltd,Thailand,6584,Public,,Financials
407,Decker and Sons,Singapore,80,Private,799037,Education
408,Morgan-Joseph,Hongkong,8999,Private,,Oil & Gas
409,"Thomas, Gaines and Banks",Singapore,7363,Public,23213861,Construction
410,Estrada-Simpson,Thailand,8043,Private,,Oil & Gas
411,Evans PLC,Hongkong,6347,Public,79068683,Education
412,Baker-Waller,Malaysia,443,Private,722319,Construction
413,Perez Group,Thailand,,Private,411340,Oil & Gas
414,Travis-Carter,Malaysia,424,Private,825116,Oil & Gas
415,Mcpherson-Gonzales,Thailand,6186,Public,42154148,Education
416,Hunter-Martin,Hongkong,452,Private,859847,Healthcare
417,Alexander-Griffith,Malaysia,2202,Private,,Information Technology
418,Guerra-Melendez,Hongkong,466,Private,459337,Oil & Gas
419,"Martin, Oconnell and Turner",Thailand,,Public,309773,Construction
420,"Long, Wilson and Lam",Singapore,260,Private,528892,Financials
421,"Rodriguez, Horton and Ball",Hongkong,,Public,665609,Oil & Gas
422,Bryant-Dominguez,Hongkong,,Public,711689,Healthcare
423,Johnson and Sons,Malaysia,332,Private,949013,Healthcare
424,"Greene, Contreras and Hood",Thailand,5100,Public,93325276,Oil & Gas
425,Perez LLC,Hongkong,7132,Public,69758925,Education
426,"Myers, Richardson and Ballard",Malaysia,3976,Private,,Information Technology
427,"Delgado, Luna and Wilcox",Malaysia,223,Private,941201,Information Technology
428,"Frazier, Johnson and Morales",Singapore,2854,Public,27911509,Healthcare
429,"Woodward, Ellis and Day",Singapore,181,Private,994457,Information Technology
430,"Everett, Mays and Cooper",Thailand,,Public,299147,Education
431,Stokes-Hooper,Hongkong,8572,Public,83095280,Financials
432,Williams and Sons,Malaysia,544,Private,,Healthcare
433,"Williams, Johnson and Soto",Hongkong,7378,Private,,Information Technology
434,Bishop-Dudley,Hongkong,3266,Public,77945123,Education
435,Smith LLC,Singapore,5585,Public,10084160,Construction
436,Price Group,Hongkong,7458,Public,60157141,Oil & Gas
437,Johnson Ltd,Malaysia,,Public,751208,Financials
438,Lee-Davis,Malaysia,6936,Public,91521222,Financials
439,Patel-Johnson,Singapore,1502,Public,95741170,Construction
440,Browning Ltd,Hongkong,4333,Public,,Oil & Gas
441,"Duran, Vega and Park",Thailand,,Public,449841,Oil & Gas
442,"Perez, Harris and Butler",Singapore,179,Private,684721,Oil & Gas
443,Horn and Sons,Singapore,9903,Public,21243702,Oil & Gas
444,Hart-Reyes,Hongkong,7278,Public,80678036,Construction
